Postal Code,County,City,Total_EVs,Total_Ports,EV_to_Port_Ratio,Priority_Level
98570,Lewis,Onalaska,40,0,inf,CRITICAL - No Ports
99349,Grant,Mattawa,36,0,inf,CRITICAL - No Ports
98236,Island,Clinton,275,0,inf,CRITICAL - No Ports
98328,Pierce,Eatonville,142,0,inf,CRITICAL - No Ports
98925,Kittitas,Easton,27,0,inf,CRITICAL - No Ports
98329,Pierce,Gig Harbor,302,0,inf,CRITICAL - No Ports
98601,Clark,Amboy,34,0,inf,CRITICAL - No Ports
99036,Spokane,Valleyford,24,0,inf,CRITICAL - No Ports
98606,Clark,Brush Prairie,313,0,inf,CRITICAL - No Ports
98333,Pierce,Fox Island,232,0,inf,CRITICAL - No Ports
99025,Spokane,Newman Lake,45,0,inf,CRITICAL - No Ports
98240,Whatcom,Custer,28,0,inf,CRITICAL - No Ports
98339,Jefferson,Port Hadlock,56,0,inf,CRITICAL - No Ports
98610,Skamania,Carson,21,0,inf,CRITICAL - No Ports
98611,Cowlitz,Castle Rock,99,0,inf,CRITICAL - No Ports
98524,Mason,Allyn,98,0,inf,CRITICAL - No Ports
98340,Kitsap,Hansville,80,0,inf,CRITICAL - No Ports
98077,Snohomish,Woodinville,84,0,inf,CRITICAL - No Ports
98342,Kitsap,Indianola,52,0,inf,CRITICAL - No Ports
98244,Whatcom,Deming,59,0,inf,CRITICAL - No Ports
98557,Grays Harbor,Mccleary,50,0,inf,CRITICAL - No Ports
98941,Kittitas,Roslyn,23,0,inf,CRITICAL - No Ports
98541,Grays Harbor,Elma,66,0,inf,CRITICAL - No Ports
98596,Lewis,Winlock,76,0,inf,CRITICAL - No Ports
98320,Jefferson,Brinnon,30,0,inf,CRITICAL - No Ports
98550,Grays Harbor,Hoquiam,61,0,inf,CRITICAL - No Ports
98568,Grays Harbor,Oakville,23,0,inf,CRITICAL - No Ports
98315,Kitsap,Silverdale,25,0,inf,CRITICAL - No Ports
98850,Douglas,Rock Island,22,0,inf,CRITICAL - No Ports
98376,Jefferson,Quilcene,50,0,inf,CRITICAL - No Ports
98847,Chelan,Peshastin,23,0,inf,CRITICAL - No Ports
98548,Mason,Hoodsport,57,0,inf,CRITICAL - No Ports
98576,Thurston,Rainier,66,0,inf,CRITICAL - No Ports
98321,Pierce,Buckley,334,0,inf,CRITICAL - No Ports
98828,Chelan,Malaga,31,0,inf,CRITICAL - No Ports
98940,Kittitas,Ronald,50,0,inf,CRITICAL - No Ports
99217,Spokane,Spokane,133,0,inf,CRITICAL - No Ports
98577,Pacific,Raymond,57,0,inf,CRITICAL - No Ports
98843,Douglas,Orondo,67,0,inf,CRITICAL - No Ports
98546,Mason,Grapeview,79,0,inf,CRITICAL - No Ports
98580,Pierce,Roy,156,0,inf,CRITICAL - No Ports
98588,Mason,Tahuya,46,0,inf,CRITICAL - No Ports
98591,Lewis,Toledo,47,0,inf,CRITICAL - No Ports
98351,Pierce,Longbranch,24,0,inf,CRITICAL - No Ports
98349,Pierce,Lakebay,110,0,inf,CRITICAL - No Ports
98354,King,Milton,133,0,inf,CRITICAL - No Ports
98262,Whatcom,Lummi Island,43,0,inf,CRITICAL - No Ports
98433,Pierce,Joint Base Lewis Mcchord,132,0,inf,CRITICAL - No Ports
98651,Skamania,Underwood,28,0,inf,CRITICAL - No Ports
98394,Pierce,Vaughn,33,0,inf,CRITICAL - No Ports
